"MP Name","Constituency","State","House","Allocated Amount (₹)","Amount Recommended (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Balance Not Yet Paid to Vendors (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"Smt. S. Phangnon Konyak (2022-28)","Sitting Rajya Sabha","Nagaland","Rajya Sabha",206563957.11,204171000,200229200,98.84,58,77,75.32,3941800,126,125,1,"N/A"
"VIJAYLAKSHMI DEVI","SIWAN","Bihar","Lok Sabha",147000000,145285955,134748616,98.83,95,182,52.2,10537339,142,142,0,"N/A"
"Smt. Sangeeta Yadav (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,193736886.47,169940841,98.81,43,121,35.54,23796045.47,261,260,1,"N/A"
"Shri Brij Lal (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,193733662,92124068,98.81,113,150,75.33,101609594,161,159,2,"N/A"
"RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","Bihar","Lok Sabha",147000000,145247018,72622818,98.81,46,171,26.9,72624200,76,76,0,"N/A"
"Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,193617928,162685314.28,98.75,125,193,64.77,30932613.72,261,251,10,"N/A"
"PATEL UMESHBHAI BABUBHAI","DAMAN and DIU","The Dadra And Nagar Haveli And Daman And Diu","Lok Sabha",245063957,241786200,0,98.66,0,61,0,241786200,0,0,0,"N/A"
"Shri Meda Raghunadha Reddy (2024-30)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",147000000,144970524,81390969,98.62,111,250,44.4,63579555,138,132,6,"N/A"
"Shri Govindbhai Laljibhai Dholakia (2024-30)","Sitting Rajya Sabha","Gujarat","Rajya Sabha",147000000,144530200,27272966,98.32,44,122,36.07,117257234,59,58,1,"N/A"
"Smt S Jothimani","KARUR","Tamil Nadu","Lok Sabha",147000000,144332988,48601252,98.19,87,177,49.15,95731736,103,100,3,"N/A"
"MANI. A.","DHARAMAPURI","Tamil Nadu","Lok Sabha",164515071.11,161217102,68465190,98,63,373,16.89,92751912,130,127,3,"N/A"
"Anto Antony","PATHANAMTHITTA","Kerala","Lok Sabha",147000000,143897348,26984855,97.89,60,356,16.85,116912493,78,78,0,"N/A"
"THARANIVENTHAN M S","ARANI","Tamil Nadu","Lok Sabha",168337124.35,164629272,111465790,97.8,192,316,60.76,53163482,215,214,1,"N/A"
"RAMBHUAL NISHAD","SULTANPUR","Uttar Pradesh","Lok Sabha",151231957.11,147846720.57,87473694,97.76,6,69,8.7,60373026.56999999,26,25,1,"N/A"
"RAJ BHUSHAN CHOUDHARY","MUZAFFARPUR","Bihar","Lok Sabha",147000000,143571385,96375137,97.67,77,130,59.23,47196248,90,90,0,"N/A"
"Shri Naresh Bansal (2020-26)","Sitting Rajya Sabha","Uttarakhand","Rajya Sabha",222043184.71,215921653,124316327,97.24,106,238,44.54,91605326,215,212,3,"N/A"
"Shri Dorjee Tshering Lepcha (2024-30)","Sitting Rajya Sabha","Sikkim","Rajya Sabha",150170726.11,145996595,91921040,97.22,85,118,72.03,54075555,183,183,0,"N/A"
"SUDAMA PRASAD","ARRAH","Bihar","Lok Sabha",147000000,142785922,57716958,97.13,66,219,30.14,85068964,86,86,0,"N/A"
"RAM PRASAD CHAUDHARY","BASTI","Uttar Pradesh","Lok Sabha",204176957.11,198071774,148429426,97.01,37,183,20.22,49642348,239,239,0,1
"Sanjay Kumar Bandi","KARIMNAGAR","Telangana","Lok Sabha",172775317.11,167256600,65663959,96.81,173,635,27.24,101592641,307,307,0,"N/A"
"RAJEEV BHARDWAJ","KANGRA","Himachal Pradesh","Lok Sabha",179388967.11,173418823,81718389,96.67,208,628,33.12,91700434,658,652,6,"N/A"
"Dr. Dharmshila Gupta (2024-30)","Sitting Rajya Sabha","Bihar","Rajya Sabha",186200000,179754823,136714265,96.54,87,142,61.27,43040558,113,112,1,"N/A"
"K RADHAKRISHNAN","ALATHUR","Kerala","Lok Sabha",147000000,141911635,28066021,96.54,15,186,8.06,113845614,30,30,0,"N/A"
"KARAN BHUSHAN SINGH","KAISERGANJ","Uttar Pradesh","Lok Sabha",147000000,141887056,95454825,96.52,33,108,30.56,46432231,145,144,1,"N/A"
"BIJULI KALITA MEDHI","GUWAHATI","Assam","Lok Sabha",147000000,141550000,72761435,96.29,5,150,3.33,68788565,170,169,1,"N/A"
"Shri Satish Chandra Dubey (2022-28)","Sitting Rajya Sabha","Bihar","Rajya Sabha",235263957.11,226217286,160336407,96.15,162,254,63.78,65880879,207,205,2,"N/A"
"PARTHA BHOWMICK","BARRACKPUR","West Bengal","Lok Sabha",147000000,141285236,31114929,96.11,4,32,12.5,110170307,11,11,0,"N/A"
"ADV K FRANCIS GEORGE","KOTTAYAM","Kerala","Lok Sabha",188722256.11,181246978,37467974,96.04,53,359,14.76,143779004,82,80,2,"N/A"
"NALIN SOREN","DUMKA","Jharkhand","Lok Sabha",147364097.11,141450000,86550781,95.99,106,425,24.94,54899219,289,289,0,"N/A"
"RAMASHANKAR RAJBHAR","SALEMPUR","Uttar Pradesh","Lok Sabha",160056927.07,153597970,61281620,95.96,84,314,26.75,92316350,263,241,22,"N/A"
"Shri Shambhu Sharan Patel (2022-28)","Sitting Rajya Sabha","Bihar","Rajya Sabha",237168443.49,227574912,175884824,95.95,199,308,64.61,51690088,222,221,1,"N/A"
"AJENDRA SINGH LODHI","HAMIRPUR","Uttar Pradesh","Lok Sabha",147000000,140840000,48355823,95.81,19,191,9.95,92484177,104,88,16,"N/A"
"Shripad Yesso Naik","NORTH GOA","Goa","Lok Sabha",147000000,140799519.3,15476370,95.78,1,115,0.87,125323149.30000001,25,25,0,"N/A"
"Arvind Dharmapuri","NIZAMABAD","Telangana","Lok Sabha",281396355.11,269501566,158096817,95.77,476,916,51.97,111404749,526,526,0,"N/A"
"ANAND KUMAR","BAHRAICH","Uttar Pradesh","Lok Sabha",147000000,140780618,66987751,95.77,32,110,29.09,73792867,102,102,0,"N/A"
"DAGGUMALLA PRASADA RAO","CHITTOOR","Andhra Pradesh","Lok Sabha",147000000,140753639,76341346,95.75,111,248,44.76,64412293,156,156,0,"N/A"
"ABHAY KUMAR SINHA","AURANGABAD","Bihar","Lok Sabha",147000000,140604391,73566109,95.65,124,271,45.76,67038282,159,159,0,"N/A"
"DR. MANSUKH MANDAVIYA","PORBANDAR","Gujarat","Lok Sabha",147000000,140558455,35557268,95.62,74,306,24.18,105001187,89,86,3,"N/A"
"Shri Baburam Nishad (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,187451605.3,136082109.32,95.61,436,649,67.18,51369495.98000002,595,592,3,"N/A"
"Shri Chunnilal Garasiya (2024-30)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",147000000,140513598,75910578,95.59,24,175,13.71,64603020,178,176,2,"N/A"
"PARSHOTTAMBHAI RUPALA","RAJKOT","Gujarat","Lok Sabha",147000000,140402854,41530051,95.51,93,305,30.49,98872803,99,95,4,"N/A"
"SALENG A SANGMA","TURA","Meghalaya","Lok Sabha",147000000,140370000,98620000,95.49,132,340,38.82,41750000,431,423,8,"N/A"
"K Subbarayan","TIRUPPUR","Tamil Nadu","Lok Sabha",147000000,140087576,81901423,95.3,65,118,55.08,58186153,75,75,0,"N/A"
"Shri Deepak (Dev) Adhikari ","GHATAL","West Bengal","Lok Sabha",200747364,191294685,87788715,95.29,165,205,80.49,103505970,176,176,0,"N/A"
"Shri B.L. Verma (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,186451342.09,168937264.09,95.1,350,414,84.54,17514078,804,803,1,"N/A"
"Dr. Sangeeta Balwant (2024-30)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,139378666,68851419.5,94.82,2,385,0.52,70527246.5,254,254,0,"N/A"
"Dr. Bhim Singh (2024-30)","Sitting Rajya Sabha","Bihar","Rajya Sabha",186200000,176484095,143120329,94.78,233,319,73.04,33363766,284,281,3,"N/A"
"Durga Das Uikey ","BETUL","Madhya Pradesh","Lok Sabha",151569502.91,143518890,85636977,94.69,288,498,57.83,57881913,437,435,2,"N/A"
"PRIYA SAROJ","MACHHLISHAHR","Uttar Pradesh","Lok Sabha",147000000,139032410,69805592,94.58,725,1396,51.93,69226818,1048,1047,1,"N/A"
"RAKESH RATHOR","SITAPUR","Uttar Pradesh","Lok Sabha",147000000,138907397,91524162,94.49,21,71,29.58,47383235,105,104,1,"N/A"
"Ganesan Selvam","KANCHEEPURAM","Tamil Nadu","Lok Sabha",186508749.11,175689345,111117216,94.2,273,456,59.87,64572129,291,291,0,"N/A"
"Kripanath Mallah","KARIMGANJ","Assam","Lok Sabha",147000000,138460506,66488500,94.19,0,94,0,71972006,116,116,0,"N/A"
"Shri B Y Raghavendra ","SHIMOGA","Karnataka","Lok Sabha",147000000,138362295,70428761,94.12,49,350,14,67933534,298,297,1,"N/A"
"Smt. Sumitra Balmik (2022-28)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",196063957.11,184137783,163767349,93.92,62,177,35.03,20370434,419,419,0,"N/A"
"Shri Sanjay Raut (2022-28)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",196063957.11,183861364,67167846,93.78,6,75,8,116693518,29,29,0,"N/A"
"Smt. Ranjeet Ranjan (2022-28)","Sitting Rajya Sabha","Chhattisgarh","Rajya Sabha",246780257.87,231242048,185739464,93.7,164,271,60.52,45502584,452,430,22,"N/A"
"Virendra Kumar","TIKAMGARH","Madhya Pradesh","Lok Sabha",147000000,137647786,49785240,93.64,12,359,3.34,87862546,221,213,8,"N/A"
"Alok Kumar Suman","GOPALGANJ","Bihar","Lok Sabha",147000000,137350687,51862560,93.44,43,155,27.74,85488127,57,56,1,"N/A"
"Giridhari Yadav","BANKA","Bihar","Lok Sabha",147000000,137231145,114805889,93.35,92,120,76.67,22425256,96,96,0,"N/A"
"Janardan Mishra","REWA","Madhya Pradesh","Lok Sabha",147000000,137206693,86935425,93.34,1,107,0.93,50271268,78,78,0,"N/A"
"BIBHU PRASAD TARAI","JAGATSINGHPUR","Odisha","Lok Sabha",147000000,137149588,16733683,93.3,15,344,4.36,120415905,85,78,7,"N/A"
"ANANTA NAYAK","KEONJHAR","Odisha","Lok Sabha",147000000,136905000,30111360,93.13,17,342,4.97,106793640,451,448,3,"N/A"
"Shri Satish Kumar Gautam ","ALIGARH","Uttar Pradesh","Lok Sabha",147000000,136639769,87713538,92.95,21,103,20.39,48926231,127,127,0,"N/A"
"MIAN ALTAF AHMAD","ANANTNAG","Jammu And Kashmir","Lok Sabha",147000000,136361166,24523857,92.76,14,133,10.53,111837309,35,35,0,"N/A"
"Dr Mohammad Jawed","KISHANGANJ","Bihar","Lok Sabha",148669229.11,137845700,89065400,92.72,130,209,62.2,48780300,138,138,0,"N/A"
"SUKHDEO BHAGAT","LOHARDAGA","Jharkhand","Lok Sabha",171821957.11,159064623,138586757,92.58,90,284,31.69,20477866,358,358,0,"N/A"
"Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Assam","Rajya Sabha",220563957.11,203869662,119812440,92.43,17,166,10.24,84057222,177,175,2,"N/A"
"DR. KIRSAN NAMDEO","GADCHIROLI-CHIMUR","Maharashtra","Lok Sabha",147000000,135837283,22599453,92.41,18,166,10.84,113237830,26,26,0,"N/A"
"MALVINDER SINGH KANG","ANANDPUR SAHIB","Punjab","Lok Sabha",147000000,135790753,80974799,92.37,109,374,29.14,54815954,793,752,41,"N/A"
"JITENDRA KUMAR DOHARE","ETAWAH","Uttar Pradesh","Lok Sabha",188747306.26,174269829.45,119571988,92.33,192,514,37.35,54697841.44999999,518,518,0,"N/A"
"Shri Naveen Jain (2024-30)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,135577743,64773227,92.23,10,168,5.95,70804516,94,94,0,"N/A"
"LALJI VERMA","AMBEDKAR NAGAR","Uttar Pradesh","Lok Sabha",147000000,135165344,86165424,91.95,61,267,22.85,48999920,287,280,7,"N/A"
"Vijay Kumar Dubey","KUSHI NAGAR","Uttar Pradesh","Lok Sabha",148900000,136483723,80256423,91.66,132,239,55.23,56227300,324,324,0,"N/A"
"Shri Sant Balbir Singh (2022-28)","Sitting Rajya Sabha","Punjab","Rajya Sabha",196359074.44000003,179870023,131641205.41,91.6,206,380,54.21,48228817.59,763,756,7,"N/A"
"CHHOTELAL","ROBERTSGANJ","Uttar Pradesh","Lok Sabha",147000000,134476735,90952339,91.48,261,435,60,43524396,728,728,0,"N/A"
"Bhola Singh","BULANDSHAHR","Uttar Pradesh","Lok Sabha",147000000,134442116,101017522,91.46,142,290,48.97,33424594,250,250,0,"N/A"
"Shri Tapir Gao","ARUNACHAL EAST","Arunachal Pradesh","Lok Sabha",147000000,134193352,98534470,91.29,106,167,63.47,35658882,199,199,0,"N/A"
"AKHILESH YADAV","KANNAUJ","Uttar Pradesh","Lok Sabha",147000000,133799178,32453607,91.02,40,244,16.39,101345571,92,85,7,"N/A"
"AFZAL ANSARI","GHAZIPUR","Uttar Pradesh","Lok Sabha",220500000,200499521,107091112,90.93,35,426,8.22,93408409,286,285,1,"N/A"
"Prof. Ram Gopal Yadav (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",221271395.11,200104837,178725656,90.43,25,81,30.86,21379181,125,124,1,"N/A"
"Shri S. Selvaganabathy (2021-27)","Sitting Rajya Sabha","Puducherry","Rajya Sabha",292881856.49,264779881,101658946,90.41,31,102,30.39,163120935,92,80,12,"N/A"
"Pradeep Kumar Singh","ARARIA","Bihar","Lok Sabha",147000000,132611427,132606146,90.21,39,86,45.35,5281,86,86,0,"N/A"
"AWADHESH PRASAD","FAIZABAD","Uttar Pradesh","Lok Sabha",147000000,132516313,92097873,90.15,108,201,53.73,40418440,288,253,35,"N/A"
"DR. RAJESH MISHRA","SIDHI","Madhya Pradesh","Lok Sabha",262724510.35,236416983,184983789,89.99,172,341,50.44,51433194,656,645,11,"N/A"
"MURASOLI S","THANJAVUR","Tamil Nadu","Lok Sabha",147000000,132218766,77333643,89.94,46,88,52.27,54885123,72,69,3,"N/A"
"Devusinh Jesingbhai Chauhan","KHEDA","Gujarat","Lok Sabha",147000000,132058971,56282548,89.84,247,674,36.65,75776423,302,292,10,"N/A"
"Smt. Darshana Singh (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196994373.87,176945852,174994106,89.82,31,47,65.96,1951746,133,132,1,"N/A"
"Jaswantsinh Sumanbhai Bhabhor","DAHOD","Gujarat","Lok Sabha",147000000,131934259,26676501,89.75,75,414,18.12,105257758,91,91,0,"N/A"
"NABA CHARAN MAJHI","MAYURBHANJ","Odisha","Lok Sabha",147563957.11,132300000,34922207,89.66,27,220,12.27,97377793,77,76,1,"N/A"
"Shri Ramji (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",174518577.11,156399935,141923083,89.62,154,245,62.86,14476852,258,174,84,"N/A"
"Midhun Reddy","RAJAMPET","Andhra Pradesh","Lok Sabha",178951477.11,160099216,56264747,89.47,181,489,37.01,103834469,232,217,15,"N/A"
"Shri Narayanasa K. Bhandage (2024-30)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",147450000,131724620,76863625,89.34,87,152,57.24,54860995,164,163,1,"N/A"
"Kanimozhi Karunanidhi","THOOTHUKKUDI","Tamil Nadu","Lok Sabha",147000000,131032027,58344698,89.14,12,53,22.64,72687329,34,33,1,"N/A"
"Shri P. Wilson (2025-31)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",89248285.42,79400000,9998159,88.97,1,35,2.86,69401841,4,4,0,"N/A"
"SANJNA JATAV","BHARATPUR","Rajasthan","Lok Sabha",147000000,130636675.1,66932558.1,88.87,76,245,31.02,63704116.99999999,733,713,20,"N/A"
"Radha Mohan Singh","PURVI CHAMPARAN","Bihar","Lok Sabha",147000000,130545336,69803891,88.81,60,124,48.39,60741445,83,83,0,"N/A"
"JASHUBHAI BHILUBHAI RATHVA","CHHOTA UDAIPUR","Gujarat","Lok Sabha",147000000,130296251,38424412,88.64,96,453,21.19,91871839,121,119,2,"N/A"
"ROBERT BRUCE C","TIRUNELVELI","Tamil Nadu","Lok Sabha",147475440.11,130653154,55819028,88.59,60,142,42.25,74834126,73,73,0,"N/A"
"Rahul Kaswan","CHURU","Rajasthan","Lok Sabha",147000000,130037464,58894909,88.46,37,257,14.4,71142555,540,534,6,"N/A"
"Adv Dean Kuriakose","IDUKKI","Kerala","Lok Sabha",147000000,129898384,58754261,88.37,95,189,50.26,71144123,116,114,2,"N/A"
"Shri Abdul Wahab (2021-27)","Sitting Rajya Sabha","Kerala","Rajya Sabha",310898953.29,274559149,93760670,88.31,120,368,32.61,180798479,164,164,0,"N/A"
"SATPAL BRAHAMCHARI","SONEPAT","Haryana","Lok Sabha",147000000,129812634,35904950,88.31,19,226,8.41,93907684,209,180,29,"N/A"
"Asit Kumar Mal ","BOLPUR","West Bengal","Lok Sabha",275694456.74,243441384,167656043,88.3,134,202,66.34,75785341,157,153,4,"N/A"
"Dr. Sandeep Kumar Pathak (2022-28)","Sitting Rajya Sabha","Punjab","Rajya Sabha",232203454.24,204855922,162756944,88.22,157,277,56.68,42098978,1147,1120,27,"N/A"
"Shri Babubhai Jesangbhai Desai (2023-29)","Sitting Rajya Sabha","Gujarat","Rajya Sabha",171500000,150982823,85880425,88.04,137,282,48.58,65102398,172,168,4,"N/A"
"DR. M.P ABDUSSAMAD SAMADANI","PONNANI","Kerala","Lok Sabha",170434031.11,149764005,16359185,87.87,48,324,14.81,133404820,56,54,2,"N/A"
"RAJ KUMAR ROAT","BANSWARA","Rajasthan","Lok Sabha",147000000,129087279,63894021,87.81,23,116,19.83,65193258,126,121,5,"N/A"
"Ramvir Singh Bidhuri","SOUTH DELHI","Delhi","Lok Sabha",147559100,129282379,28849836,87.61,41,134,30.6,100432543,48,48,0,"N/A"
"Dr. John Brittas (2021-27)","Sitting Rajya Sabha","Kerala","Rajya Sabha",245063957.11,214637184,57506835,87.58,36,144,25,157130349,57,57,0,"N/A"
"Shri Ryaga Krishnaiah (2024-28)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",170413583.79,149057484,61002205,87.47,30,71,42.25,88055279,38,37,1,"N/A"
"Shri Chandrakant Damodar Handore (2024-30)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",147000000,127902582,92046911,87.01,10,37,27.03,35855671,27,26,1,"N/A"
"MALAIYARASAN D","KALLAKURICHI","Tamil Nadu","Lok Sabha",201599593,175403247,121901141,87.01,198,384,51.56,53502106,204,204,0,"N/A"
"SHASHANK MANI","DEORIA","Uttar Pradesh","Lok Sabha",147000000,127833563,80936917,86.96,45,126,35.71,46896646,142,135,7,"N/A"
"Dileshwar Kamait ","SUPAUL","Bihar","Lok Sabha",150450930.89,130816237,89329681,86.95,46,131,35.11,41486556,76,76,0,"N/A"
"Dinesh Chandra Yadav","MADHEPURA","Bihar","Lok Sabha",150070866.11,129988231,92486814,86.62,105,156,67.31,37501417,113,113,0,"N/A"
"K E PRAKASH","ERODE","Tamil Nadu","Lok Sabha",147000000,127327724,87182728,86.62,141,233,60.52,40144996,148,147,1,"N/A"
"PRADEEP PUROHIT","BARGARH","Odisha","Lok Sabha",147000000,127137900,31249878,86.49,42,318,13.21,95888022,113,110,3,"N/A"
"SUKHJINDER SINGH RANDHAWA","GURDASPUR","Punjab","Lok Sabha",147000000,126983530,56807613,86.38,90,338,26.63,70175917,400,397,3,"N/A"
"Dr. Vikramjit Singh Sahney (2022-28)","Sitting Rajya Sabha","Punjab","Rajya Sabha",198656208.57000002,171596137.74,111224375.74,86.38,27,61,44.26,60371762.000000015,348,347,1,"N/A"
"Shri Ravi Chandra Vaddiraju (2024-30)","Sitting Rajya Sabha","Telangana","Rajya Sabha",152732534.11,131769169,74168159,86.27,107,276,38.77,57601010,165,162,3,"N/A"
"Shri Hibi Eden","ERNAKULAM","Kerala","Lok Sabha",162177260.11,139783460,24928980,86.19,18,112,16.07,114854480,34,34,0,"N/A"
"KRISHNA DEVI SHIVSHANKER PATEL","BANDA","Uttar Pradesh","Lok Sabha",147000000,126612939.12,76835226.67,86.13,202,442,45.7,49777712.45,352,329,23,"N/A"
"ALOK SHARMA","BHOPAL","Madhya Pradesh","Lok Sabha",147000000,126534188,63242243,86.08,22,90,24.44,63291945,85,84,1,"N/A"
"Smt. Mahua Maji (2022-28)","Sitting Rajya Sabha","Jharkhand","Rajya Sabha",232524001.2,199543815,163193927,85.82,150,465,32.26,36349888,598,598,0,"N/A"
"Smt. Sonia Gandhi (2024-30)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",147000000,125886435,74225676,85.64,46,128,35.94,51660759,144,141,3,"N/A"
"Kalanidhi Veeraswamy","CHENNAI NORTH","Tamil Nadu","Lok Sabha",171500000,146804864,86228598,85.6,40,100,40,60576266,58,57,1,"N/A"
"Shri LS Tejasvi Surya ","BANGALORE SOUTH","Karnataka","Lok Sabha",147000000,125736528,40913804,85.54,25,136,18.38,84822724,51,51,0,"N/A"
"Shri V. Vijayendra Prasad (2022-28)","Nominated Rajya Sabha","Andhra Pradesh","Rajya Sabha",196063957.11,167401264,90827947,85.38,74,194,38.14,76573317,113,107,6,"N/A"
"Dr. Sarfraz Ahmad (2024-30)","Sitting Rajya Sabha","Jharkhand","Rajya Sabha",178564551.09,152169214,82543604,85.22,20,377,5.31,69625610,186,156,30,"N/A"
"Nitin Jairam Gadkari","NAGPUR","Maharashtra","Lok Sabha",168195086.11,143109407,46558565,85.09,19,67,28.36,96550842,35,29,6,"N/A"
"Smt. Sulata Deo (2022-28)","Sitting Rajya Sabha","Odisha","Rajya Sabha",196084721.4,166686484,89713285,85.01,115,315,36.51,76973199,305,302,3,"N/A"
"Shri Haris Beeran (2024-30)","Sitting Rajya Sabha","Kerala","Rajya Sabha",122500000,104068864,17910402,84.95,11,216,5.09,86158462,24,23,1,"N/A"
"NILESH DNYANDEV LANKE","AHMEDNAGAR","Maharashtra","Lok Sabha",147000000,124380392,23809461,84.61,12,99,12.12,100570931,17,17,0,"N/A"
"DR. PRASHANT YADAORAO PADOLE","BHANDARA-GONDIYA","Maharashtra","Lok Sabha",159680283.39,134892033,15660951,84.48,8,152,5.26,119231082,22,20,2,"N/A"
"Shri Karti P Chidambaram ","SIVAGANGA","Tamil Nadu","Lok Sabha",159049284.11,134172129,98344507,84.36,117,182,64.29,35827622,147,147,0,"N/A"
"NARAYAN DAS AHIRWAR","JALAUN","Uttar Pradesh","Lok Sabha",147000000,123716116.8,51218010.8,84.16,36,367,9.81,72498106,292,289,3,1
"Bharatsinhji Shankarji Dabhi","PATAN","Gujarat","Lok Sabha",147000000,123505538,72505536,84.02,160,334,47.9,51000002,205,199,6,"N/A"
"RICHARD VANLALHMANGAIHA","MIZORAM","Mizoram","Lok Sabha",147000000,123494229,96361729,84.01,134,266,50.38,27132500,319,319,0,"N/A"
"KANWAR SINGH TANWAR","AMROHA","Uttar Pradesh","Lok Sabha",147000000,123430143,78135018,83.97,59,104,56.73,45295125,81,81,0,"N/A"
"Prof. Manoj Kumar Jha (2024-30)","Sitting Rajya Sabha","Bihar","Rajya Sabha",191620112.11,160811994,87200986,83.92,110,176,62.5,73611008,111,111,0,"N/A"
"GANAPATHY RAJKUMAR P","COIMBATORE","Tamil Nadu","Lok Sabha",147370490.11,123530358,43662823,83.82,7,107,6.54,79867535,45,44,1,"N/A"
"Dr. Kalpana Saini (2022-28)","Sitting Rajya Sabha","Uttarakhand","Rajya Sabha",200830405.8,168240049,66206094,83.77,58,194,29.9,102033955,162,152,10,"N/A"
"Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",220563957.11,184718033,116845421,83.75,118,504,23.41,67872612,635,629,6,"N/A"
"V S Matheswaran","NAMAKKAL","Tamil Nadu","Lok Sabha",162539930.11,136032955,90580955,83.69,140,205,68.29,45452000,141,141,0,"N/A"
"Dr. Dinesh Sharma (2023-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,122978044,57084177,83.66,2,91,2.2,65893867,63,61,2,"N/A"
"RANJIT DUTTA","Sonitpur","Assam","Lok Sabha",147000000,122723218,72922532,83.49,24,152,15.79,49800686,345,333,12,"N/A"
"Shri Kapil Sibal (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,163430037,94339935.12,83.36,64,223,28.7,69090101.88,291,279,12,"N/A"
"TANUJ PUNIA","BARABANKI","Uttar Pradesh","Lok Sabha",148198170.11,123462716,83397272,83.31,13,33,39.39,40065444,30,30,0,"N/A"
"KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","Karnataka","Lok Sabha",147000000,122390292,44313852,83.26,51,320,15.94,78076440,120,105,15,"N/A"
"Shankar Lalwani","INDORE","Madhya Pradesh","Lok Sabha",147000000,122331388,76896131,83.22,145,302,48.01,45435257,272,272,0,"N/A"
"Shri Pradip Kumar Varma (2024-30)","Sitting Rajya Sabha","Jharkhand","Rajya Sabha",178564551.09,147971716,101069118,82.87,24,237,10.13,46902598,244,242,2,"N/A"
"Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","Uttarakhand","Lok Sabha",147000000,121413994,51274009,82.59,85,484,17.56,70139985,916,897,19,"N/A"
"SAVITRI THAKUR","DHAR","Madhya Pradesh","Lok Sabha",147000000,121039723,80699431,82.34,179,339,52.8,40340292,484,479,5,"N/A"
"Shri Mukul Wasnik (2022-28)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",196063957.11,161404422,114656779.01,82.32,94,170,55.29,46747642.989999995,455,451,4,"N/A"
"DEEPENDER SINGH HOODA","ROHTAK","Haryana","Lok Sabha",147000000,120944825,59066490,82.28,70,177,39.55,61878335,148,148,0,"N/A"
"SHER SINGH GHUBAYA","FIROZPUR","Punjab","Lok Sabha",147000000,120880251,94266196,82.23,361,480,75.21,26614055,462,462,0,"N/A"
"DR. HEMANG JOSHI","VADODARA","Gujarat","Lok Sabha",147000000,120876228,69015565,82.23,72,204,35.29,51860663,123,122,1,"N/A"
"BRIJMOHAN AGRAWAL","RAIPUR","Chhattisgarh","Lok Sabha",153766451.11,126349504,68756217,82.17,38,164,23.17,57593287,168,165,3,"N/A"
"Vijay Baghel","DURG","Chhattisgarh","Lok Sabha",147000000,120691956,58735103,82.1,70,218,32.11,61956853,249,243,6,"N/A"
"C R Patil","NAVSARI","Gujarat","Lok Sabha",158532494.36,130009644,72577870,82.01,268,408,65.69,57431774,283,262,21,"N/A"
"Smt. Sadhna Singh (2024-30)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,120396796,101298179,81.9,5,18,27.78,19098617,37,37,0,"N/A"
"GOVIND MAKTHAPPA KARJOL","CHITRADURGA","Karnataka","Lok Sabha",147000000,120250000,46311790,81.8,19,225,8.44,73938210,125,107,18,"N/A"
"Shri Hardeep Singh Puri (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",226801049.11,185320368.2,180480217.2,81.71,292,415,70.36,4840151,885,885,0,"N/A"
"SAMBIT PATRA","PURI","Odisha","Lok Sabha",147000000,120088525,38354750,81.69,548,730,75.07,81733775,847,847,0,"N/A"
"SHOBHA KARANDLAJE","BANGALORE NORTH","Karnataka","Lok Sabha",147000000,119610632,61473509,81.37,21,114,18.42,58137123,104,104,0,"N/A"
"DR C N MANJUNATH","BANGALORE RURAL","Karnataka","Lok Sabha",147000000,119592941,58422695,81.36,66,250,26.4,61170246,190,183,7,"N/A"
