"MP Name","Constituency","State","House","Allocated Amount (₹)","Amount Recommended (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Balance Not Yet Paid to Vendors (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"Nishikant Dubey","GODDA","Jharkhand","Lok Sabha",147000000,4285510,1785510,2.92,0,2,0,2500000,1,1,0,"N/A"
"Shri Lingamaneni Ramesh (2026-32)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",49000000,1200000,0,2.45,0,1,0,1200000,0,0,0,"N/A"
"Shri Sanjay Bhatia (2026-32)","Sitting Rajya Sabha","Haryana","Rajya Sabha",49000000,1100000,0,2.24,0,1,0,1100000,0,0,0,"N/A"
"Shrikant Eknath Shinde","KALYAN","Maharashtra","Lok Sabha",147000000,2825000,325000,1.92,0,2,0,2500000,1,1,0,"N/A"
"Rajiv Ranjan (Lalan) Singh","MUNGER","Bihar","Lok Sabha",147000000,1000000,0,0.68,0,1,0,1000000,0,0,0,"N/A"
"CHAVAN VASANTRAO BALWANTRAO","NANDED","Maharashtra","Lok Sabha",0,0,0,0,0,0,0,0,0,0,0,"N/A"
"HARISH CHANDRA MEENA","TONK-SAWAI MADHOPUR","Rajasthan","Lok Sabha",147000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"MISHA BHARTI","PATALIPUTRA","Bihar","Lok Sabha",147000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"NARESH GANPAT MHASKE","THANE","Maharashtra","Lok Sabha",147000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Sanjay Jaiswal","PASCHIM CHAMPARAN","Bihar","Lok Sabha",147000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Dr. Alka Singh (2026-32)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Dr. Anbumani Ramadoss (2026-32)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",49356476.5,0,0,0,0,0,0,0,0,0,0,"N/A"
"Dr. Jyoti Nagnath Waghmare (2026-32)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Dr. M. Thambi Durai (2026-32)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",49356476.5,0,0,0,0,0,0,0,0,0,0,"N/A"
"Dr. Mukeshbhai J. Rathwa (2026-32)","Sitting Rajya Sabha","Gujarat","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Dr. Satish Poonia (2026-32)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Anurag Sharma (2026-32)","Sitting Rajya Sabha","Himachal Pradesh","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Baidyanath Ram (2026-32)","Sitting Rajya Sabha","Jharkhand","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Christopher Manickam (2026-32)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",49356476.5,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Constandine Ravindran (2026-32)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",49356476.5,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Gurwinder Singh Oberoi (2025-31)","Sitting Rajya Sabha","Jammu And Kashmir","Rajya Sabha",73500000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri James Pangsang Kongkal Sangma (2026-32)","Sitting Rajya Sabha","Meghalaya","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Karamvir Singh Singh Boudh (2026-32)","Sitting Rajya Sabha","Haryana","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Khiangte Laltluangkima (2026-32)","Sitting Rajya Sabha","Mizoram","Rajya Sabha",24500000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri L. K. Sudhish (2026-32)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",49356476.5,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri M. Nagaraja (2026-32)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Mahesh Kewat (2026-32)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Mallikarjun Kharge (2026-32)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",49063957.11,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Manmohan Samal (2026-32)","Sitting Rajya Sabha","Odisha","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
